"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2007","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2693.95873162278,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2008","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",3468.32706308591,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2009","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",3832.22745696438,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2010","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",4550.47394361131,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2011","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",5614.3860223103,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2012","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",6300.58217952904,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2013","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",7020.38607424065,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2014","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",7636.0743401587,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2015","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",8016.44559491162,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2016","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",8094.39016730811,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2017","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",8817.04560829162,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2018","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",9905.40638307759,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2019","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",10143.8602205959,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2020","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",10408.7195541075,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2021","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",12617.5051041181,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",12720.2163182363,"Nominal GDP Per Capita"
